,Year,Coal,Petroleum Products,Natural Gas,Total,Sector
78,1996,0.8330294133333334,2.01355198,3.2677601,6.114341493333334,Commercial
79,1997,0.38342227,1.83428135,3.42756678,5.645270399999999,Commercial
80,1998,0.3863221266666667,1.83214581,3.22334705,5.441814986666667,Commercial
81,1999,0.2749097633333333,1.757229283333333,3.38458472,5.416723766666667,Commercial
82,2000,0.18447,2.102754866666667,3.628333206666666,5.915558073333333,Commercial
83,2001,0.27474029,1.826348993333333,3.2920118,5.393101083333334,Commercial
84,2002,0.1621028933333333,1.442708226666666,3.44475714,5.049568259999999,Commercial
85,2003,0.2180880166666667,2.067520106666667,3.52005082,5.805658943333333,Commercial
86,2004,0.19783412,1.929286773333333,3.528056106666666,5.655177,Commercial
87,2005,0.26381124,1.765107483333333,3.638232400000001,5.667151123333333,Commercial
88,2006,0.057772,1.552712626666666,3.42265308,5.033137706666666,Commercial
89,2007,0.1763261866666666,1.298878936666667,3.65371424,5.128919363333333,Commercial
90,2008,0.18722022,1.07114744,3.68526114,4.9436288,Commercial
91,2009,0.21963128,0.9566314633333333,3.719219276666666,4.895482019999999,Commercial
92,2010,0.2113045,1.055916106666666,3.752052773333333,5.01927338,Commercial
93,2011,0.2256138133333333,0.9263494899999998,3.50240792,4.654371223333333,Commercial
94,2012,0.12212772,1.113915403333333,3.306862863333333,4.542905986666667,Commercial
95,2013,0.1269704333333333,1.072414346666666,3.74522676,4.94461154,Commercial
96,2014,0.1665378,1.2077329,4.013434516666666,5.387705216666666,Commercial
97,2015,0.12679106,1.92565934,3.83158347,5.88403387,Commercial
98,2016,0.0839256,1.914070216666667,3.75412323,5.752119046666667,Commercial
99,2017,0.09011486,1.956006323333333,3.80549884,5.851620023333333,Commercial
100,2018,0.06916459,2.075371906666667,4.156927059999999,6.301463556666666,Commercial
101,2019,0.05667610666666666,2.076761756666667,3.98539284,6.118830703333333,Commercial
102,2020,0.02508297,1.8917228,3.78454648,5.701352249999999,Commercial
103,2021,0.02215752,1.97324017,4.00655684,6.00195453,Commercial
104,1970,9.393325833672668,5.199760957643496,2.33104996168,16.92413675299616,Industrial
105,1971,7.276725610682803,6.366381779624249,2.52203902984,16.16514642014705,Industrial
106,1972,6.48649177,7.035276410062647,2.76721262928,16.28898080934265,Industrial
107,1973,6.005075046666666,7.658120990480613,2.78206395544,16.44525999258728,Industrial
108,1974,5.260946936666667,7.04665415395554,2.65620783648,14.96380892710221,Industrial
109,1975,6.256146123333333,6.196324097102129,1.88956514648,14.34203536691546,Industrial
110,1976,4.989810890983065,6.626072432255805,1.70100906008,13.31689238331887,Industrial
111,1977,5.149532008582896,7.25177396558141,1.56846224128,13.9697682154443,Industrial
112,1978,5.620004060082866,5.828911995978319,1.71286984616,13.16178590222119,Industrial
113,1979,7.632758947764556,6.253238673902228,2.14619403504,16.03219165670679,Industrial
114,1980,8.266294098482797,5.192811643034386,2.81044874264,16.26955448415718,Industrial
115,1981,9.251129211260569,3.979081604516839,2.72686568176,15.95707649753741,Industrial
116,1982,8.360238781872868,4.066644757906501,2.63071221512,15.05759575489937,Industrial
117,1983,9.626320399230536,3.780369116875075,2.43353931832,15.84022883442561,Industrial
118,1984,10.7775233907174,4.679237618696505,2.49993944552,17.95670045493391,Industrial
