Year,FIPS,Income
2010,51111,25561.0
2010,51113,33640.0
2010,51115,44721.0
2010,51117,28736.0
2010,51119,38521.0
2010,51125,36579.0
2010,51127,54596.0
2010,51131,35028.0
2010,51133,36530.0
2010,51135,28793.0
2010,51137,37713.0
2010,51139,30695.0
2010,51141,26522.0
2010,51145,39668.0
2010,51147,24062.0
2010,51155,30648.0
2010,51157,48613.0
2010,51159,26674.0
2010,51167,28905.0
2010,51169,26788.0
2010,51171,33428.0
2010,51173,28191.0
2010,51179,47301.0
2010,51181,33081.0
2010,51183,26179.0
2010,51185,31160.0
2010,51187,38131.0
2010,51193,33679.0
2010,51197,28510.0
2010,51510,75741.0
2010,51550,42229.0
2010,51650,35747.0
2010,51700,34718.0
2010,51710,34346.0
2010,51740,34543.0
2010,51760,42175.0
2010,51770,35343.0
2010,51800,42364.0
2010,51810,44787.0
2010,51901,50560.0
2010,51903,31690.0
2010,51907,35775.0
2010,51911,31797.0
2010,51913,28109.0
2010,51918,33964.0
2010,51919,66243.0
2010,51921,38718.0
2010,51923,25086.0
2010,51929,30327.0
2010,51931,51434.0
2010,51933,27647.0
2010,51939,28514.0
2010,51941,32301.0
2010,51942,47117.0
2010,51944,41647.0
2010,51945,31444.0
2010,51947,30568.0
2010,51949,29652.0
2010,51951,41759.0
2010,51953,32954.0
2010,51955,30434.0
2010,51958,49018.0
2011,51001,33794.0
2011,51007,34021.0
2011,51009,30707.0
2011,51011,31551.0
2011,51013,82330.0
2011,51017,42934.0
2011,51019,37277.0
2011,51021,29452.0
2011,51023,41410.0
2011,51025,27148.0
2011,51027,31898.0
2011,51029,24591.0
2011,51033,34697.0
2011,51036,35067.0
2011,51037,27983.0
2011,51041,43897.0
2011,51043,53254.0
2011,51045,30739.0
2011,51047,38951.0
2011,51049,28860.0
2011,51051,28628.0
2011,51057,34493.0
2011,51061,58846.0
2011,51063,30926.0
2011,51065,36047.0
2011,51067,33190.0
2011,51071,32360.0
2011,51073,41933.0
2011,51075,75921.0
2011,51077,27365.0
2011,51079,35269.0
2011,51083,29148.0
2011,51085,46997.0
2011,51087,49724.0
2011,51091,36243.0
2011,51093,46880.0
2011,51097,35028.0
2011,51099,46094.0
2011,51101,37022.0
2011,51103,45181.0
2011,51105,26919.0
2011,51107,66780.0
2011,51109,35324.0
2011,51111,26740.0
2011,51113,36637.0
2011,51115,47419.0
2011,51117,29686.0
2011,51119,40237.0
2011,51125,38653.0
2011,51127,57871.0
2011,51131,36620.0
2011,51133,39142.0
2011,51135,29217.0
2011,51137,39278.0
2011,51139,31813.0
2011,51141,27425.0
2011,51145,41212.0
2011,51147,25830.0
2011,51155,32117.0
2011,51157,51697.0
2011,51159,27957.0
2011,51167,29910.0
2011,51169,28607.0
2011,51171,34987.0
2011,51173,29673.0
2011,51179,48676.0
2011,51181,34362.0
2011,51183,26551.0
2011,51185,32823.0
2011,51187,40374.0
2011,51193,35027.0
2011,51197,29147.0
2011,51510,78178.0
2011,51550,43473.0
2011,51650,36704.0
2011,51700,36456.0
2011,51710,35010.0
2011,51740,35708.0
2011,51760,45052.0
2011,51770,36595.0
2011,51800,43786.0
2011,51810,46425.0
2011,51901,52721.0
2011,51903,32467.0
2011,51907,36323.0
