County,Year,PQ1,PQ2,PQ3,PQ4,TQ1,TQ2,TQ3,TQ4
51067,2008,1.8233333333333335,3.8733333333333335,3.7866666666666666,2.5766666666666667,41.36666666666667,63.96666666666667,71.43333333333334,46.23333333333333
51067,2009,2.983333333333333,5.226666666666667,3.7933333333333334,6.010000000000001,39.699999999999996,64.06666666666666,70.96666666666668,46.73333333333333
51067,2010,4.456666666666666,2.76,5.24,2.973333333333333,37.833333333333336,67.26666666666667,74.53333333333335,45.1
51067,2011,2.7166666666666663,4.246666666666667,3.7399999999999998,4.873333333333334,40.4,65.7,73.8,48.9
51067,2012,2.6633333333333336,3.6300000000000003,3.6366666666666667,2.0566666666666666,45.6,65.0,73.26666666666667,47.300000000000004
51067,2013,4.423333333333333,5.2,4.226666666666667,3.5866666666666673,39.4,63.86666666666667,71.53333333333332,47.43333333333334
51067,2014,3.1666666666666665,3.0233333333333334,4.0200000000000005,3.24,36.4,64.86666666666667,70.76666666666667,47.03333333333333
51067,2015,2.26,4.043333333333334,5.103333333333333,5.903333333333333,37.9,66.16666666666667,72.86666666666667,52.53333333333334
51067,2016,4.126666666666666,4.23,4.04,2.8633333333333333,41.300000000000004,63.86666666666667,75.5,49.76666666666667
51067,2017,2.59,6.6000000000000005,2.7300000000000004,1.8966666666666665,44.866666666666674,65.36666666666667,72.26666666666667,48.06666666666666
51067,2018,3.6566666666666663,5.2299999999999995,7.883333333333333,6.266666666666666,39.93333333333333,65.86666666666667,74.23333333333333,47.300000000000004
51067,2019,3.703333333333333,5.453333333333333,2.823333333333333,4.243333333333333,41.166666666666664,66.3,74.96666666666667,48.4
51067,2020,3.8300000000000005,8.366666666666665,5.580000000000001,6.363333333333333,45.46666666666667,61.79999999999999,73.30000000000001,49.56666666666666
51067,2021,3.6166666666666667,2.4166666666666665,4.656666666666666,1.7266666666666668,40.86666666666667,63.20000000000001,73.26666666666667,50.6
51067,2022,3.8666666666666667,3.72,5.006666666666667,4.319999999999999,41.13333333333333,64.53333333333333,72.6,46.166666666666664
51099,2008,2.24,6.033333333333334,3.4433333333333334,2.486666666666667,42.43333333333333,65.46666666666667,74.36666666666666,48.166666666666664
51099,2009,1.7333333333333334,5.1033333333333335,3.11,5.82,39.13333333333333,65.2,74.1,48.43333333333334
51099,2010,3.486666666666667,1.8999999999999997,4.44,2.8166666666666664,39.199999999999996,68.93333333333334,77.53333333333333,47.0
