Year,County,Income
2017,51067,39633
2018,51067,41034
2019,51067,43385
2020,51067,47157
2021,51067,50783
2022,51067,52577
2008,51921,39011
2009,51921,37498
2010,51921,38718
2011,51921,40544
2012,51921,42026
2013,51921,41643
2014,51921,42625
2015,51921,44773
2016,51921,46467
2017,51921,48082
2018,51921,49307
2019,51921,51932
2020,51921,55344
2021,51921,60095
2022,51921,62259
2008,51071,30282
2009,51071,30163
2010,51071,31353
2011,51071,32360
2012,51071,33354
2013,51071,33689
2014,51071,35172
2015,51071,35851
2016,51071,36136
2017,51071,37394
2018,51071,38713
2019,51071,40171
2020,51071,42845
2021,51071,48074
2022,51071,49522
2008,51073,40570
2009,51073,40518
2010,51073,40298
2011,51073,41933
2012,51073,42292
2013,51073,41574
2014,51073,42343
2015,51073,43906
2016,51073,45472
2017,51073,46659
2018,51073,47054
2019,51073,48895
2020,51073,52246
2021,51073,56313
2022,51073,57498
2008,51075,69324
2009,51075,65740
2010,51075,67996
2011,51075,75921
2012,51075,81879
2013,51075,77645
2014,51075,80226
2015,51075,88228
2016,51075,88204
2017,51075,94511
2018,51075,96891
2019,51075,100383
2020,51075,99944
2021,51075,110612
2022,51075,116296
2008,51077,25913
2009,51077,26070
2010,51077,26716
2011,51077,27365
2012,51077,27727
2013,51077,27437
2014,51077,27415
2015,51077,28282
2016,51077,29299
2017,51077,30323
2018,51077,31334
2019,51077,31853
2020,51077,35067
2021,51077,37923
2022,51077,38942
2008,51079,32530
2009,51079,32698
2010,51079,34072
2011,51079,35269
2012,51079,36382
2013,51079,36480
2014,51079,37606
2015,51079,39498
2016,51079,40605
2017,51079,41776
2018,51079,43902
2019,51079,44447
2020,51079,46174
2021,51079,50185
2022,51079,51629
2008,51923,25895
2009,51923,25496
2010,51923,25086
2011,51923,26342
2012,51923,26340
2013,51923,26549
2014,51923,27311
2015,51923,27725
2016,51923,28605
2017,51923,29706
2018,51923,30148
2019,51923,31405
2020,51923,35051
2021,51923,39039
2022,51923,39233
2008,51083,28216
2009,51083,28207
2010,51083,28893
2011,51083,29148
2012,51083,30043
2013,51083,30084
2014,51083,31198
2015,51083,31944
2016,51083,32972
2017,51083,34100
2018,51083,34998
